program_id,faculty_id,faculty_name_ar,faculty_name_en,program_name_ar,program_name_en,degree_level,plan_found,source_type,levels_found,courses_found,course_codes_available,credit_hours_available,prerequisites_available,electives_identified,source_date_version,extraction_confidence,recommended_status,source_url_ar,source_url_en
catalog-doctor-of-philosophy-in-computer-science,IT,الحاسبات وتقنية المعلومات,computing & information tech.,الدكتوراه في علوم الحاسبات,Doctor of Philosophy in Computer Science,doctorate,True,rendered_html_embedded_structured_data,3,7,True,True,True,True,13/07/2026,high,ready_to_import,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-computer-science,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-computer-science
catalog-phd-in-arabic-language,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في اللغة العربية,PHD in Arabic Language,doctorate,True,rendered_html_embedded_structured_data,4,2,True,True,True,False,,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-arabic-language,https://kau.edu.sa/en/programs/phd-in-arabic-language
catalog-phd-in-history,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في التاريخ,PHD in History,doctorate,True,rendered_html_embedded_structured_data,7,42,True,True,True,True,12/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-history,https://kau.edu.sa/en/programs/phd-in-history
catalog-phd-in-islamic-creed,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في العقيدة,PHD in Islamic Creed (Aqidah),doctorate,True,rendered_html_embedded_structured_data,5,16,True,True,True,False,16/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-islamic-creed,https://kau.edu.sa/en/programs/phd-in-islamic-creed
catalog-phd-of-sharia-islamic-studies,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في الدراسات القضائية,PhD in Judicial Studies,doctorate,True,rendered_html_embedded_structured_data,5,16,True,True,True,False,13/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-of-sharia-islamic-studies,https://kau.edu.sa/en/programs/phd-of-sharia-islamic-studies
catalog-phd-of-fiqh-principles,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في أصول الفقه,PhD in Usul al-Fiqh (Principles of Islamic Jurisprudence),doctorate,True,rendered_html_embedded_structured_data,5,16,True,True,True,False,14/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-of-fiqh-principles,https://kau.edu.sa/en/programs/phd-of-fiqh-principles
catalog-phd-of-quran-sunnah,AH,الآداب و العلوم الإنسانية,Arts and Humanities,دكتوراه الفلسفة في الكتاب والسنة,PhD in the Qur'an and Sunnah Sciences,doctorate,True,rendered_html_embedded_structured_data,5,16,True,True,True,False,13/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-of-quran-sunnah,https://kau.edu.sa/en/programs/phd-of-quran-sunnah
catalog-doctor-of-philosophy-phd-in-communication-and-media,CM,الاتصال والإعلام,communications&media,برنامج دكتوراه الفلسفة في الاتصال والإعلام,Doctor of Philosophy (PhD) in Communication and Media,doctorate,True,rendered_html_embedded_structured_data,8,42,True,True,True,True,15/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/doctor-of-philosophy-phd-in-communication-and-media,https://kau.edu.sa/en/programs/doctor-of-philosophy-phd-in-communication-and-media
catalog-doctor-of-philosophy-in-pediatric-dentistry,DN,طب الأسنان,dentistry,دكتوراة الفلسفة في طب أسنان الأطفال,Doctor of Philosophy in Pediatric Dentistry,doctorate,True,rendered_html_embedded_structured_data,6,45,True,True,True,False,,medium,requires_manual_review,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-pediatric-dentistry,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-pediatric-dentistry
catalog-doctor-of-philosophy-in-health-administration,EA,الاقتصاد والادارة,economics and administration,دكتوراه الفلسفة في الإدارة الصحية,Doctor of Philosophy in Health Administration,doctorate,True,rendered_html_embedded_structured_data,7,12,True,True,False,True,12/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-health-administration,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-health-administration
catalog-phd-in-accounting,EA,الاقتصاد والادارة,economics and administration,دكتوراة الفلسفة في المحاسبة,Ph.D. in Accounting,doctorate,True,rendered_html_embedded_structured_data,5,14,True,True,False,True,12/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-accounting,https://kau.edu.sa/en/programs/phd-in-accounting
catalog-phd-in-economics,EA,الاقتصاد والادارة,economics and administration,دكتوراه الفلسفة في الاقتصاد,Ph.D. in Economics,doctorate,True,rendered_html_embedded_structured_data,8,13,True,True,False,True,12/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-economics,https://kau.edu.sa/en/programs/phd-in-economics
catalog-doctor-of-philosophy-in-hydrology-and-water-resources-management,FE,العلوم البيئية,ENVIRONMENTAL SCIENCES,دكتوراه الفلسفة في علوم وإدارة موارد المياه,Doctor of Philosophy in Hydrology and Water Resources Management,doctorate,True,rendered_html_embedded_structured_data,2,35,True,True,False,True,07/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-hydrology-and-water-resources-management,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-hydrology-and-water-resources-management
catalog-phds-degree-in-arid-land-agriculture,FE,العلوم البيئية,ENVIRONMENTAL SCIENCES,دكتوراه في (زراعة المناطق الجافة),Ph.D.’s Degree in (Arid land Agriculture),doctorate,True,rendered_html_embedded_structured_data,7,65,True,True,False,False,,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phds-degree-in-arid-land-agriculture,https://kau.edu.sa/en/programs/phds-degree-in-arid-land-agriculture
catalog-doctor-of-philosophy-in-computer-information-systems,IT,الحاسبات وتقنية المعلومات,computing & information tech.,الدكتوراه في نظم المعلومات,Doctor of Philosophy in Computer Information Systems,doctorate,True,rendered_html_embedded_structured_data,6,10,True,True,True,True,13/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-computer-information-systems,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-computer-information-systems
catalog-doctor-of-philosophy-in-information-technology,IT,الحاسبات وتقنية المعلومات,computing & information tech.,الدكتوراه في تقنية المعلومات,Doctor of Philosophy in Information Technology,doctorate,True,rendered_html_embedded_structured_data,3,7,True,True,False,True,14/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-information-technology,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-information-technology
catalog-phd-in-marine-biology,MR,علوم البحار,marine sciences,الدكتوراه في الأحياء البحرية,PhD in Marine Biology,doctorate,True,rendered_html_embedded_structured_data,6,16,True,True,False,True,13/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-marine-biology,https://kau.edu.sa/en/programs/phd-in-marine-biology
catalog-phd-in-marine-chemistry,MR,علوم البحار,marine sciences,الدكتوراه في الكيمياء البحرية,PhD in Marine Chemistry,doctorate,True,rendered_html_embedded_structured_data,6,26,True,True,False,True,11/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-marine-chemistry,https://kau.edu.sa/en/programs/phd-in-marine-chemistry
catalog-phd-in-marine-geology,MR,علوم البحار,marine sciences,الدكتوراه في الجيولوجيا البحرية,PhD in Marine Geology,doctorate,True,rendered_html_embedded_structured_data,6,22,True,True,False,True,10/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-marine-geology,https://kau.edu.sa/en/programs/phd-in-marine-geology
catalog-phd-in-marine-physics,MR,علوم البحار,marine sciences,الدكتوراه في الفيزياء البحرية,PhD in Marine Physics,doctorate,True,rendered_html_embedded_structured_data,6,24,True,True,False,True,14/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-marine-physics,https://kau.edu.sa/en/programs/phd-in-marine-physics
catalog-phd-in-biochemistry,SC,العلوم,science,دكتوراه في الكيمياء الحيوية,PHD in Biochemistry,doctorate,True,rendered_html_embedded_structured_data,5,13,True,True,True,True,14/06/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/phd-in-biochemistry,https://kau.edu.sa/en/programs/phd-in-biochemistry
catalog-phd-in-psychology,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في علم النفس,PHD in Psychology,doctorate,True,rendered_html_embedded_structured_data,7,21,True,False,False,True,,low,insufficient_data,https://kau.edu.sa/ar/programs/phd-in-psychology,https://kau.edu.sa/en/programs/phd-in-psychology
catalog-phd-in-sociology,AH,الآداب و العلوم الإنسانية,Arts and Humanities,الدكتوراه في علم الاجتماع والخدمة الاجتماعية,PHD in Sociology,doctorate,True,rendered_html_embedded_structured_data,8,43,True,False,False,False,09/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/phd-in-sociology,https://kau.edu.sa/en/programs/phd-in-sociology
catalog-doctor-of-philosophy-in-business-administration,EA,الاقتصاد والادارة,economics and administration,دكتوراه الفلسفة في ادارة الاعمال,Doctor of Philosophy in Business Administration,doctorate,True,rendered_html_embedded_structured_data,6,14,True,False,False,True,12/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-business-administration,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-business-administration
catalog-doctor-of-philosophy-phd-in-fashion-and-textiles,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,دكتوراه الفلسفة في الأزياء والنسيج,Doctor of Philosophy (PhD) in Fashion and Textiles,doctorate,True,rendered_html_embedded_structured_data,11,20,True,False,False,True,15/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/doctor-of-philosophy-phd-in-fashion-and-textiles,https://kau.edu.sa/en/programs/doctor-of-philosophy-phd-in-fashion-and-textiles
catalog-doctor-of-philosophy-in-statistics,SC,العلوم,science,دكتوراه الفلسفه في الإحصاء,Doctor of Philosophy in Statistics,doctorate,True,rendered_html_embedded_structured_data,8,17,True,False,True,True,24/06/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/doctor-of-philosophy-in-statistics,https://kau.edu.sa/en/programs/doctor-of-philosophy-in-statistics
ed-doctorate-psychological-educational-counseling,ED,التربية,education,دكتوراه الإرشاد النفسي والتربوي,PhD in Psychological and Educational Counseling,doctorate,False,,0,0,False,False,False,False,14/07/2026,high,no_plan_found,https://kau.edu.sa/faculty/ar/education/page/department-of%20psychology,https://kau.edu.sa/faculty/en/education/page/department-of%20psychology
ph-doctor-of-pharmacy,PH,الصيدلة,pharmacy,دكتور صيدلي,Doctor of Pharmacy (PharmD),other,False,,0,0,False,False,False,False,04/09/2025,low,broken_source,https://admission.kau.edu.sa/Default-166-AR,https://kau.edu.sa/en/student-achievement/80e897dc-bcf4-444c-9f14-cfc67c008b03
